#X	Y	log2	log10
508471	11	3.45943	1.04139
508477	11	3.45943	1.04139
508489	9	3.16993	0.954243
508499	10	3.32193	1
508513	9	3.16993	0.954243
508517	10	3.32193	1
508531	11	3.45943	1.04139
508549	9	3.16993	0.954243
508559	11	3.45943	1.04139
508567	11	3.45943	1.04139
508577	9	3.16993	0.954243
508579	10	3.32193	1
508583	11	3.45943	1.04139
508619	11	3.45943	1.04139
508621	11	3.45943	1.04139
508637	12	3.58496	1.07918
508643	11	3.45943	1.04139
508661	12	3.58496	1.07918
508693	10	3.32193	1
508709	10	3.32193	1
508727	12	3.58496	1.07918
508771	11	3.45943	1.04139
508789	12	3.58496	1.07918
508799	14	3.80735	1.14613
508811	11	3.45943	1.04139
508817	10	3.32193	1
508841	11	3.45943	1.04139
508847	13	3.70044	1.11394
508867	11	3.45943	1.04139
508901	12	3.58496	1.07918
508903	13	3.70044	1.11394
508909	13	3.70044	1.11394
508913	12	3.58496	1.07918
508919	14	3.80735	1.14613
508931	8	3	0.90309
508943	10	3.32193	1
508951	10	3.32193	1
508957	10	3.32193	1
508961	8	3	0.90309
508969	9	3.16993	0.954243
508973	10	3.32193	1
508987	11	3.45943	1.04139
509023	12	3.58496	1.07918
509027	10	3.32193	1
509053	12	3.58496	1.07918
509063	10	3.32193	1
509071	11	3.45943	1.04139
509087	12	3.58496	1.07918
509101	11	3.45943	1.04139
509123	10	3.32193	1
509137	10	3.32193	1
509147	12	3.58496	1.07918
509149	12	3.58496	1.07918
509203	10	3.32193	1
509221	10	3.32193	1
509227	11	3.45943	1.04139
509239	12	3.58496	1.07918
509263	12	3.58496	1.07918
509281	10	3.32193	1
509287	12	3.58496	1.07918
509293	12	3.58496	1.07918
509297	11	3.45943	1.04139
509317	10	3.32193	1
509329	10	3.32193	1
509359	13	3.70044	1.11394
509363	12	3.58496	1.07918
509389	12	3.58496	1.07918
509393	11	3.45943	1.04139
509413	12	3.58496	1.07918
509417	12	3.58496	1.07918
509429	13	3.70044	1.11394
509441	8	3	0.90309
509449	9	3.16993	0.954243
509477	10	3.32193	1
509513	10	3.32193	1
509521	10	3.32193	1
509543	12	3.58496	1.07918
509549	12	3.58496	1.07918
509557	12	3.58496	1.07918
509563	13	3.70044	1.11394
509569	9	3.16993	0.954243
509573	10	3.32193	1
509581	11	3.45943	1.04139
509591	12	3.58496	1.07918
509603	11	3.45943	1.04139
509623	13	3.70044	1.11394
509633	10	3.32193	1
509647	13	3.70044	1.11394
509653	12	3.58496	1.07918
509659	13	3.70044	1.11394
509681	12	3.58496	1.07918
509687	14	3.80735	1.14613
509689	13	3.70044	1.11394
509693	14	3.80735	1.14613
509699	10	3.32193	1
509723	12	3.58496	1.07918
509731	11	3.45943	1.04139
509737	11	3.45943	1.04139
509741	12	3.58496	1.07918
509767	12	3.58496	1.07918
509783	13	3.70044	1.11394
509797	12	3.58496	1.07918
509801	12	3.58496	1.07918
509833	11	3.45943	1.04139
509837	12	3.58496	1.07918
509843	12	3.58496	1.07918
509863	13	3.70044	1.11394
509867	13	3.70044	1.11394
509879	14	3.80735	1.14613
509909	13	3.70044	1.11394
509911	14	3.80735	1.14613
509921	12	3.58496	1.07918
509939	14	3.80735	1.14613
509947	15	3.90689	1.17609
509959	9	3.16993	0.954243
509963	9	3.16993	0.954243
509989	9	3.16993	0.954243
510007	11	3.45943	1.04139
510031	11	3.45943	1.04139
510047	12	3.58496	1.07918
510049	9	3.16993	0.954243
510061	11	3.45943	1.04139
510067	11	3.45943	1.04139
510073	11	3.45943	1.04139
510077	12	3.58496	1.07918
510079	13	3.70044	1.11394
510089	9	3.16993	0.954243
510101	10	3.32193	1
510121	10	3.32193	1
510127	12	3.58496	1.07918
510137	11	3.45943	1.04139
510157	11	3.45943	1.04139
510179	11	3.45943	1.04139
510199	13	3.70044	1.11394
510203	13	3.70044	1.11394
510217	9	3.16993	0.954243
510227	10	3.32193	1
510233	10	3.32193	1
510241	9	3.16993	0.954243
